Duration,Total_NPV,Total_Carbon,Total_Undiscounted_Cost,Finished,Alpha,Beta
145,24205623670767.598,417297970405.7045,294361862437752.8,True,0.75,0.85
144,24209167947619.742,413223999663.1507,291347905269609.3,True,0.75,0.9
144,24213632180283.312,410861639345.1872,289514691662276.2,True,0.75,0.95
143,24218593655586.86,409172943814.2589,288241013276521.8,True,0.75,1.0
140,24646065908016.016,402370033899.09534,283925769431692.44,True,0.8,0.8
139,24648755507722.7,398113748393.945,280782062020987.44,True,0.8,0.85
139,24653802178625.965,397007849063.117,279868193063309.38,True,0.8,0.9
138,24657420660690.293,394080528291.05975,277695113985110.22,True,0.8,0.95
138,24661091133021.07,391449952432.0387,275671105087403.53,True,0.8,1.0
135,25088196485942.324,387199304154.30585,273200052761870.75,True,0.85,0.8
134,25089968879293.504,382970585048.008,270080291070342.5,True,0.85,0.85
134,25095180368733.277,382299051616.7494,269486770665195.28,True,0.85,0.9
133,25097674648677.953,378958060180.2342,267016142526764.6,True,0.85,0.95
133,25101971953445.152,377501331415.2975,265851284025938.38,True,0.85,1.0
131,25525404908303.484,372310480956.23254,262621775032147.8,True,0.9,0.8
130,25530884934455.348,371898508838.51855,262278428972981.97,True,0.9,0.85
130,25532145136691.473,368264531077.1466,259551321488717.7,True,0.9,0.9
129,25537641847514.38,367906251119.90875,259235223909003.8,True,0.9,0.95
129,25538732475376.5,364341924801.39777,256548000833673.97,True,0.9,1.0
127,25962573936762.668,361474368995.1647,254981117131186.47,True,0.95,0.8
126,25967545241861.605,360793335891.62866,254452451883535.84,True,0.95,0.85
126,25969301079041.363,358175862724.0682,252447254488233.16,True,0.95,0.9
125,25973125272692.06,356792495583.3074,251409169761203.84,True,0.95,0.95
125,25976095824348.324,355049812998.79175,250042135580272.8,True,0.95,1.0
123,26400224890514.504,353551223109.00916,249470544944274.38,True,1.0,0.8
123,26402161432767.082,351412293141.69653,247816340529327.7,True,1.0,0.85
122,26404747196969.17,349541104710.5286,246424362856900.44,True,1.0,0.9
122,26409349000026.715,348918698194.765,245875901975736.16,True,1.0,0.95
122,26409507327072.426,345950359854.1885,243618144897045.6,True,1.0,1.0
