name,lat_deg,lon_deg,weight
Omelek,9.048167,167.743083,1.0
Carnarvon,-43.817,172.683,1.0
Great Mercury Island,-36.35511,175.46006,1.0
Mahia Peninsula,-39.26044,177.86431,1.0
List of rocket launch sites,55.04916667,15.60305556,1.0
Ascension Island,-7.97476,-14.4147,1.0
Barking Sands,22.04872,-159.7765,1.0
Base Matienzo,-64.8,-60.1,1.0
Bigen island,8.36458,171.04284,1.0
Bikini Atoll,11.61498,165.55293,1.0
Dumont d'Urville,-64.67,140.02,1.0
Eniwetok,11.33991,162.32493,1.0
Guam,13.59692,144.90248,1.0
Johnston,16.73294,-169.5298,1.0
Kerguelen,-49.3522,70.21914,1.0
Kindley,32.36179,-64.68583,1.0
McMurdo,-77.85,166.66,1.0
Molodezhnaya Station,-67.66,45.85,1.0
Rarotonga,-21.20237,-159.80614,1.0
Rothera,-67.567,-68.117,1.0
Siple,-75.94,-84.2481,1.0
Syowa Base,-69.0,39.58,1.0
Vicecomodoro,-64.27,-56.72,1.0
Wake Island,19.28997,166.61768,1.0
Maine Spaceport Complex,44.4444,-67.6,1.0
Arnhem Space Centre,-12.378021,136.821402,1.0
Taiyuan,38.84908611,111.60849722,1.0
Anheung,36.70211,126.47158,1.0
Space Port Kii,33.550833,135.879722,1.0
Atlantic,45.303559,-60.982891,1.0
Coronie,5.86447,-56.32553,1.0
